         linear   linearSorted         binary
          246ns          138ns           85ns
        1.791µs          141ns          105ns
          180ns          184ns          109ns
          134ns          427ns           99ns
          289ns          246ns          191ns
          381ns          323ns          129ns
          179ns          183ns          289ns
          154ns          133ns          107ns
          329ns          298ns          133ns
          352ns          312ns          137ns
          132ns           62ns           85ns
          595ns          492ns          128ns
          251ns          287ns          140ns
          633ns          484ns          121ns
          501ns          324ns          129ns
          310ns          303ns          138ns
          144ns           72ns           98ns
          573ns          538ns          562ns
          243ns          149ns          125ns
          889ns          577ns          106ns
          931ns          543ns          132ns
          255ns          107ns          163ns
          458ns          272ns          150ns
          433ns          344ns          120ns
          128ns          428ns          463ns
          167ns          154ns           97ns
          633ns          491ns          171ns
          537ns          484ns          122ns
          751ns          581ns          107ns
          146ns          139ns          194ns
          225ns          197ns          121ns
          718ns          618ns          119ns
          200ns          186ns          111ns
          294ns          353ns          118ns
          572ns          366ns          125ns
          247ns          170ns          137ns
          445ns          310ns          135ns
          168ns          129ns           95ns
          161ns          113ns           61ns
          184ns          166ns          140ns
          713ns          426ns          114ns
          180ns          158ns          217ns
          120ns          121ns           80ns
          491ns          474ns          128ns
          363ns          373ns           99ns
          142ns          156ns          182ns
          228ns          520ns          108ns
          616ns          408ns          153ns
          868ns          378ns          129ns
          155ns           59ns           89ns
          160ns          162ns           94ns
          262ns          162ns          100ns
          141ns           79ns           84ns
          820ns          673ns           95ns
          792ns          631ns          154ns
          247ns          243ns           88ns
          371ns          229ns          103ns
          118ns          131ns           89ns
          556ns          413ns           77ns
          148ns          148ns          101ns
          662ns          449ns           79ns
          663ns          572ns          119ns
          383ns          338ns          149ns
          386ns          321ns          131ns
          147ns          125ns          102ns
          334ns          301ns          139ns
        1.145µs        1.005µs          125ns
          127ns          125ns          123ns
          437ns          396ns          135ns
           78ns           56ns           69ns
          166ns          188ns          116ns
          354ns          412ns          111ns
          134ns          155ns          108ns
          111ns          191ns          105ns
           98ns           96ns          105ns
          175ns          142ns          102ns
          273ns          177ns          113ns
          139ns           90ns          164ns
          597ns          531ns          110ns
          130ns           61ns           79ns
          162ns           90ns          110ns
          231ns          273ns          102ns
          452ns          624ns          125ns
          257ns          231ns          123ns
          135ns          166ns           88ns
          107ns          154ns           91ns
          376ns          348ns           86ns
          625ns          654ns          108ns
          725ns          387ns          122ns
          626ns          884ns          191ns
          280ns          208ns          113ns
          278ns          193ns          115ns
          457ns          457ns           65ns
          334ns          339ns          119ns
          255ns          248ns          140ns
          468ns          422ns          146ns
          711ns          805ns           93ns
          408ns          395ns          153ns
          308ns          303ns          135ns
          629ns          580ns          132ns
