      insertion     insertion2  insertionDesc
          210ns          150ns           98ns
       37.112µs          814ns       70.272µs
         4.46µs          329ns        6.716µs
       25.587µs        1.072µs       44.441µs
      115.931µs        1.808µs      219.933µs
       93.463µs         1.52µs      179.279µs
      145.084µs        1.417µs      283.593µs
      154.945µs        1.987µs      276.374µs
       22.774µs        1.453µs        42.81µs
       69.766µs         1.17µs      111.096µs
       68.169µs          1.1µs      131.633µs
       130.97µs        1.421µs      249.194µs
       40.802µs          760ns       75.868µs
      139.775µs        1.882µs      268.253µs
      140.573µs        1.401µs      259.797µs
        1.258µs          238ns        1.619µs
        7.478µs          442ns       12.647µs
       60.858µs        1.309µs      113.973µs
      109.256µs        1.297µs      208.324µs
      131.745µs        1.904µs       261.48µs
       67.278µs        1.203µs      132.742µs
       50.245µs          924ns        95.61µs
        5.581µs          382ns        8.799µs
      169.558µs        1.555µs      311.843µs
       41.684µs          827ns       74.624µs
       14.589µs          686ns       25.177µs
       31.685µs        1.762µs       57.122µs
        3.993µs          293ns        5.921µs
      144.568µs          2.1µs      275.113µs
       14.761µs          888ns       27.046µs
      144.922µs        2.475µs      275.984µs
      148.054µs        1.427µs      290.766µs
        8.541µs          693ns       14.587µs
         2.43µs          361ns         3.53µs
        5.945µs          633ns        9.377µs
       57.614µs        1.064µs      107.202µs
       31.554µs        1.177µs       58.164µs
       132.65µs        2.028µs       252.26µs
       62.274µs        1.956µs      119.761µs
        4.385µs          444ns        6.768µs
      169.938µs        1.519µs      313.021µs
      146.557µs        1.985µs      270.905µs
       21.128µs          595ns       35.675µs
        5.945µs          727ns         9.38µs
      168.899µs        1.616µs      334.999µs
       80.402µs         1.33µs      146.109µs
       74.794µs        1.883µs      137.143µs
       83.893µs        1.513µs       157.84µs
      168.021µs        1.806µs      330.073µs
       50.862µs        1.187µs       95.483µs
       25.276µs          758ns       45.679µs
       30.672µs        1.292µs       56.698µs
        15.35µs          634ns       26.604µs
       56.834µs        1.596µs      111.742µs
       76.075µs        1.783µs      148.082µs
       54.525µs          738ns       79.089µs
       19.952µs          719ns       37.774µs
       71.856µs        1.343µs      139.366µs
       35.986µs        1.991µs       68.668µs
       15.951µs          743ns       27.788µs
       58.869µs          957ns      115.648µs
       19.873µs          544ns       33.452µs
        1.041µs          338ns        1.231µs
        5.347µs          544ns        8.728µs
        4.229µs          287ns        6.449µs
       34.342µs          750ns       64.528µs
        2.058µs          248ns        2.791µs
       44.671µs          755ns       82.715µs
       97.094µs        1.373µs      180.031µs
          521ns          223ns          433ns
       21.868µs          801ns       40.411µs
       85.536µs        1.458µs      167.628µs
      172.797µs        1.812µs      308.153µs
      146.594µs        1.858µs      242.699µs
      204.589µs         1.73µs      292.976µs
      137.439µs        1.363µs      193.064µs
      110.823µs        1.162µs      175.025µs
        4.946µs          348ns        7.435µs
       101.88µs        1.812µs      189.884µs
       10.466µs          514ns        17.11µs
          755ns          165ns          682ns
       60.805µs          985ns      127.099µs
       77.047µs        1.417µs      145.329µs
       50.493µs        1.284µs       95.232µs
       23.728µs          696ns        53.37µs
       48.837µs          963ns        93.07µs
       54.652µs         1.91µs      104.389µs
       13.286µs          817ns       23.068µs
       86.729µs        1.019µs      162.505µs
      162.215µs        1.777µs      307.683µs
       48.405µs        1.128µs       91.403µs
      137.694µs        1.326µs      261.031µs
       16.175µs          622ns       29.598µs
       82.849µs        1.745µs      158.154µs
      116.805µs        2.048µs      222.793µs
        4.348µs          427ns        6.948µs
      157.656µs        1.504µs      314.953µs
        6.331µs          420ns       10.786µs
       52.757µs        1.131µs      100.917µs
        5.259µs          396ns        8.858µs
